epoch,accuracy,loss,val_accuracy,val_loss
0,0.9718261957168579,0.09459870308637619,0.987500011920929,0.05055639147758484
1,0.972363293170929,0.09030969440937042,0.9974609613418579,0.00991902407258749
2,0.9752441644668579,0.08151338249444962,0.9701172113418579,0.12880852818489075
3,0.9720703363418579,0.09256218373775482,0.9937499761581421,0.025618594139814377
4,0.97314453125,0.08567411452531815,0.972851574420929,0.11893533170223236
5,0.97509765625,0.08112463355064392,0.9935547113418579,0.03062020242214203
6,0.969531238079071,0.10105659067630768,0.974414050579071,0.07592761516571045
7,0.9764159917831421,0.0779808908700943,0.9976562261581421,0.007029055617749691
8,0.9742676019668579,0.08902160823345184,0.9927734136581421,0.03145942464470863
9,0.9739745855331421,0.08666875213384628,0.9935547113418579,0.02251766249537468
10,0.9765625,0.07454440742731094,0.995312511920929,0.02825445868074894
11,0.9750000238418579,0.08401432633399963,0.9888671636581421,0.049218352884054184
12,0.973388671875,0.09147656708955765,0.9896484613418579,0.031006023287773132
13,0.975146472454071,0.08394291251897812,0.97265625,0.128167986869812
14,0.9725097417831421,0.08911073207855225,0.990429699420929,0.03940294682979584
15,0.973193347454071,0.08695924282073975,0.99609375,0.023017076775431633
16,0.974072277545929,0.08736751973628998,0.9951171875,0.015630530193448067
17,0.9788573980331421,0.0743209719657898,0.9947265386581421,0.019445154815912247
18,0.9749511480331421,0.0833287239074707,0.9945312738418579,0.020400790497660637
19,0.977294921875,0.07687588781118393,0.9917968511581421,0.026041757315397263
20,0.9771484136581421,0.07769477367401123,0.997265636920929,0.014119903557002544
21,0.978955090045929,0.0757494866847992,0.996874988079071,0.012130431830883026
22,0.9788573980331421,0.07201454043388367,0.9970703125,0.01027410663664341
23,0.9766601324081421,0.07521308958530426,0.995898425579071,0.010410429909825325
24,0.9740234613418579,0.08446544408798218,0.996289074420929,0.01452789455652237
25,0.974853515625,0.07998786866664886,0.9976562261581421,0.009563330560922623
26,0.9771972894668579,0.0747154951095581,0.9964843988418579,0.011141234077513218
27,0.9762207269668579,0.08107900619506836,0.9970703125,0.01994098350405693
28,0.9762207269668579,0.08094470202922821,0.9937499761581421,0.0252104252576828
29,0.977490246295929,0.07765485346317291,0.993945300579071,0.03187129274010658
30,0.9773925542831421,0.0759352296590805,0.998828113079071,0.008459147997200489
31,0.9778808355331421,0.07860949635505676,0.988476574420929,0.05078505352139473
32,0.97900390625,0.07276357710361481,0.9970703125,0.013343952596187592
33,0.978955090045929,0.06951062381267548,0.998046875,0.013090250082314014
34,0.978320300579071,0.07013528048992157,0.9906250238418579,0.03518447279930115
35,0.9771972894668579,0.07353869825601578,0.9927734136581421,0.026181047782301903
36,0.977734386920929,0.07890306413173676,0.99609375,0.013868036679923534
37,0.978466808795929,0.0710611492395401,0.9947265386581421,0.012967984192073345
38,0.9800781011581421,0.06802908331155777,0.9976562261581421,0.008920715190470219
39,0.9795898199081421,0.07052192836999893,0.9951171875,0.03138069435954094
40,0.976757824420929,0.08007122576236725,0.993945300579071,0.03209046274423599
41,0.9779297113418579,0.07322286069393158,0.9957031011581421,0.014537476003170013
42,0.9779297113418579,0.07289404422044754,0.995312511920929,0.02193000726401806
43,0.977343738079071,0.07375604659318924,0.9931640625,0.025583812966942787
44,0.977294921875,0.07696641981601715,0.995898425579071,0.017199646681547165
45,0.978564441204071,0.07490227371454239,0.996874988079071,0.010920517146587372
46,0.978320300579071,0.07255391776561737,0.9966796636581421,0.01725265011191368
47,0.976855456829071,0.07929196208715439,0.9976562261581421,0.013470903038978577
48,0.9786621332168579,0.07066607475280762,0.99609375,0.017308177426457405
49,0.977001965045929,0.08030121773481369,0.9935547113418579,0.023167472332715988
